,respondent,age,education,activity_work,voted,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp,gender,educational_level,political_trust
690,17158.0,37.0,10.0,1.0,1.0,4.0,6.0,8.0,7.0,7.0,4.0,6.0,4.0,5.0,4.0,7.0,4.0,Male,mid_educated,5.5
691,17159.0,58.0,17.0,1.0,1.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,3.0,8.0,5.0,7.0,7.0,Male,highly_educated,6.25
692,17160.0,68.0,4.0,6.0,1.0,5.0,4.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,5.0,3.0,4.0,Male,lower_educated,5.75
693,17161.0,16.0,2.0,1.0,3.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,7.0,3.0,6.0,4.0,Male,lower_educated,7.5
694,17162.0,54.0,10.0,1.0,1.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,Male,mid_educated,6.5
695,17163.0,15.0,2.0,2.0,3.0,7.0,8.0,9.0,7.0,7.0,8.0,8.0,3.0,6.0,5.0,5.0,5.0,Female,lower_educated,7.25
696,17164.0,64.0,17.0,1.0,1.0,6.0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,8.0,7.0,7.0,7.0,Male,highly_educated,6.0
697,17165.0,16.0,2.0,2.0,3.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0,6.0,3.0,6.0,Female,lower_educated,6.25
698,17166.0,64.0,2.0,8.0,1.0,4.0,3.0,7.0,4.0,5.0,5.6,7.0,7.0,8.0,5.0,10.0,7.0,Female,lower_educated,4.65
699,17167.0,34.0,14.0,1.0,1.0,6.0,7.0,5.0,6.0,6.0,8.0,6.8,8.0,8.0,6.0,6.0,7.0,Male,highly_educated,6.5
700,17168.0,41.0,14.0,8.0,1.0,0.0,4.0,8.0,1.0,1.0,4.6,6.0,8.0,6.0,8.0,5.0,3.0,Female,highly_educated,1.65
701,17169.0,50.0,6.0,1.0,1.0,4.0,8.0,8.0,4.0,3.0,4.0,4.0,8.0,8.0,7.0,8.0,7.0,Female,mid_educated,3.75
702,17170.0,70.0,3.0,6.0,1.0,4.0,5.0,2.0,5.0,6.0,5.4,6.0,5.0,8.0,5.0,8.0,8.0,Female,lower_educated,5.1
703,17171.0,71.0,7.0,6.0,1.0,6.0,7.0,7.0,6.0,5.0,7.0,7.0,8.0,5.0,7.0,8.0,8.0,Male,mid_educated,6.0
704,17172.0,50.0,16.0,1.0,1.0,3.0,3.0,6.0,6.0,4.0,4.0,5.0,7.0,7.0,5.0,8.0,8.0,Male,highly_educated,4.25
705,17173.0,38.0,10.0,8.0,2.0,4.0,6.0,7.0,7.0,1.0,3.0,7.0,5.0,7.0,6.0,5.0,5.0,Female,mid_educated,3.75
706,17174.0,62.0,14.0,1.0,1.0,6.0,7.0,7.0,7.0,6.0,8.0,7.0,8.0,4.0,7.0,8.0,7.0,Male,highly_educated,6.75
707,17175.0,25.0,10.0,1.0,1.0,5.6,6.0,8.0,6.0,5.0,6.4,6.8,7.0,7.0,3.0,5.0,2.0,Female,mid_educated,5.75
708,17176.0,28.0,14.0,1.0,1.0,5.0,7.0,7.0,6.0,6.0,5.0,7.0,8.0,6.0,4.0,7.0,8.0,Female,highly_educated,5.5
709,17177.0,69.0,9.0,6.0,1.0,6.0,3.0,8.0,5.0,5.0,2.0,7.0,7.0,7.0,8.0,8.0,4.0,Male,mid_educated,4.5
710,17178.0,64.0,12.6,4.0,1.0,6.0,6.0,7.0,8.0,5.0,5.0,7.0,5.0,7.0,5.0,8.0,8.0,Female,,6.0
711,17179.0,70.0,10.0,6.0,1.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,7.0,Male,mid_educated,6.5
712,17180.0,43.0,14.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,Female,highly_educated,8.0
713,17181.0,72.0,14.0,6.0,1.0,6.0,7.0,6.0,4.0,6.0,6.0,7.0,3.0,5.0,6.0,8.0,6.0,Male,highly_educated,5.5
714,17182.0,57.0,16.0,1.0,1.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,7.0,7.0,Male,highly_educated,7.25
715,17183.0,16.0,2.0,2.0,3.0,6.0,8.0,7.0,6.0,5.0,8.0,8.0,5.0,6.0,5.0,8.0,6.0,Male,lower_educated,6.25
716,17184.0,51.0,17.0,1.0,1.0,2.0,9.0,9.0,2.0,2.0,1.0,6.0,7.0,4.0,6.0,9.0,4.0,Male,highly_educated,1.75
717,17185.0,39.0,2.0,5.0,1.0,7.0,7.0,9.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,6.8,6.0,Male,lower_educated,6.25
718,17186.0,33.0,14.0,8.0,1.0,7.0,5.0,8.0,5.0,6.0,7.0,7.0,8.0,8.0,6.0,8.0,7.0,Female,highly_educated,6.25
719,17187.0,35.0,14.0,1.0,1.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,Female,highly_educated,5.75
720,17188.0,19.0,4.0,1.0,3.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,4.0,7.0,6.0,Female,lower_educated,7.5
721,17189.0,67.0,14.0,8.0,1.0,5.0,8.0,5.0,5.0,5.0,4.0,5.0,7.0,7.0,6.0,6.0,4.0,Male,highly_educated,4.75
722,17190.0,33.0,17.0,1.0,1.0,7.0,8.0,8.0,6.0,7.0,6.0,9.0,6.0,6.0,3.0,7.0,5.0,Male,highly_educated,6.5
723,17191.0,66.0,14.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,6.0,9.0,9.0,8.0,7.0,5.0,Female,highly_educated,4.0
724,17192.0,69.0,16.0,6.0,1.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,5.0,5.0,7.0,7.0,5.0,Male,highly_educated,1.5
725,17193.0,42.0,3.0,1.0,1.0,6.0,7.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,8.0,6.0,5.0,Female,lower_educated,5.0
726,17194.0,30.0,10.0,1.0,1.0,4.0,6.0,7.0,3.0,3.0,4.0,7.0,3.0,5.0,2.0,3.0,2.0,Male,mid_educated,3.5
727,17195.0,65.0,10.0,5.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,10.0,8.0,Female,mid_educated,1.25
728,17196.0,33.0,14.0,1.0,1.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,7.0,9.0,9.0,6.0,7.0,Male,highly_educated,6.75
729,17197.0,32.0,10.0,8.0,1.0,6.0,6.0,8.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,Female,mid_educated,5.75
730,17198.0,26.0,17.0,1.0,3.0,6.0,8.0,8.0,5.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,Female,highly_educated,5.75
731,17199.0,66.0,16.0,6.0,1.0,7.0,8.0,8.0,6.0,6.0,5.0,7.0,7.0,7.0,6.0,7.0,6.0,Female,highly_educated,6.0
732,17200.0,64.0,17.0,1.0,1.0,6.0,9.0,8.0,6.0,7.0,6.0,8.0,8.0,7.0,5.0,9.0,8.0,Male,highly_educated,6.25
733,17201.0,67.0,3.0,6.0,1.0,3.0,4.0,7.0,3.0,5.0,4.0,6.0,3.0,4.0,5.0,7.0,2.0,Female,lower_educated,3.75
734,17202.0,66.0,3.0,6.0,2.0,6.0,8.0,7.0,5.0,6.0,0.0,8.0,7.0,5.0,6.0,10.0,0.0,Male,lower_educated,4.25
735,17203.0,56.0,3.0,1.0,1.0,4.0,5.0,8.0,6.0,6.0,6.0,5.0,6.0,8.0,9.0,8.0,5.0,Female,lower_educated,5.5
736,17204.0,57.0,17.0,1.0,1.0,7.0,8.0,8.0,5.0,4.0,2.0,2.0,7.0,8.0,7.0,8.0,8.0,Female,highly_educated,4.5
737,17205.0,32.0,9.0,1.0,1.0,8.0,6.0,7.6,9.0,5.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,Female,mid_educated,7.5
738,17206.0,68.0,3.0,8.0,1.0,4.0,4.0,7.0,4.0,4.0,0.0,5.0,7.0,7.0,6.0,9.0,9.0,Female,lower_educated,3.0
739,17207.0,88.0,7.0,8.0,1.0,4.0,6.0,7.0,5.0,4.0,3.0,2.0,7.0,4.0,8.0,9.0,4.0,Female,mid_educated,4.0
740,17208.0,37.0,4.0,1.0,1.0,5.0,8.0,10.0,5.0,5.0,2.0,5.0,7.0,9.0,5.0,7.0,0.0,Male,lower_educated,4.25
741,17209.0,44.0,14.0,1.0,1.0,6.0,8.0,9.0,5.0,5.0,6.0,8.0,7.0,7.0,6.0,8.0,5.0,Male,highly_educated,5.5
742,17210.0,28.0,17.0,1.0,1.0,6.0,7.0,7.0,6.0,3.0,7.0,3.0,7.0,7.4,6.0,8.0,8.0,Male,highly_educated,5.5
743,17211.0,68.0,3.0,6.0,1.0,7.0,4.0,9.0,7.0,7.0,7.0,5.0,2.0,8.0,2.0,10.0,5.0,Female,lower_educated,7.0
