,gender,age,education,activity_work,educational_level,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
16505,Female,46.0,10.0,1.0,mid_educated,2.0,,1,6.0,2,3.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0
16506,Male,85.0,18.0,6.0,highly_educated,1.0,,1,77.0,6,4.0,,8.0,7.0,6.0,7.0,4.0,5.0
16507,Female,52.0,3.0,1.0,lower_educated,2.0,,2,66.0,6,6.0,4.0,6.0,4.0,4.0,4.0,,
16508,Female,72.0,14.0,6.0,highly_educated,1.0,11.0,1,11.0,2,4.0,6.0,7.0,8.0,6.0,7.0,7.0,7.0
16509,Female,56.0,9.0,5.0,mid_educated,1.0,5.0,2,66.0,6,5.0,6.0,5.0,8.0,4.0,5.0,7.0,6.0
16510,Male,72.0,17.0,6.0,highly_educated,1.0,8.0,1,8.0,2,4.0,4.0,6.0,6.0,7.0,7.0,6.0,5.0
16511,Female,35.0,17.0,1.0,highly_educated,1.0,15.0,2,66.0,6,3.0,5.0,8.0,7.0,4.0,5.0,7.0,8.0
16512,Male,28.0,14.0,1.0,highly_educated,1.0,7.0,1,7.0,2,6.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0
16513,Male,44.0,10.0,1.0,mid_educated,2.0,,2,66.0,6,5.0,7.0,7.0,8.0,7.0,5.0,8.0,8.0
16514,Male,69.0,7.0,6.0,mid_educated,1.0,7.0,1,7.0,3,6.0,6.0,6.0,8.0,6.0,6.0,5.0,4.0
16515,Female,59.0,10.0,1.0,mid_educated,1.0,7.0,1,17.0,2,5.0,4.0,8.0,9.0,4.0,4.0,2.0,3.0
16516,Female,49.0,5.0,8.0,lower_educated,1.0,,1,18.0,2,5.0,5.0,7.0,6.0,5.0,5.0,,5.0
16517,Female,49.0,17.0,1.0,highly_educated,1.0,6.0,2,66.0,6,3.0,5.0,6.0,7.0,5.0,5.0,7.0,6.0
16518,Female,77.0,3.0,8.0,lower_educated,1.0,,2,66.0,6,,7.0,3.0,7.0,5.0,6.0,7.0,
16519,Female,45.0,10.0,1.0,mid_educated,1.0,,1,88.0,6,5.0,4.0,0.0,8.0,3.0,3.0,3.0,5.0
16520,Female,63.0,14.0,1.0,highly_educated,1.0,1.0,2,66.0,6,7.0,5.0,5.0,7.0,2.0,2.0,4.0,6.0
16521,Female,64.0,17.0,1.0,highly_educated,1.0,6.0,2,66.0,6,4.0,7.0,9.0,8.0,6.0,6.0,6.0,8.0
16522,Female,64.0,8.0,8.0,mid_educated,2.0,,7,66.0,6,5.0,6.0,7.0,8.0,7.0,6.0,8.0,5.0
